epoch,global_step,batch_idx,loss,loss_avg,grad_norm,lr,samples_per_sec,dl_wait_ms,h2d_ms,forward_ms,backward_ms,optimizer_ms,total_iter_ms,peak_mem_mb,num_tokens
0,0,0,10.82652759552002,10.82652759552002,3.537740468978882,1.4999999999999998e-06,6.158323231144801,267.80492100078845,2.713599920272827,752.055908203125,82.66722869873047,192.6727752685547,1299.0549050009577,6012.67456,105
0,10,10,10.804183006286621,10.81721089103005,3.1832542419433594,1.6499999999999998e-05,43.42384819183691,26.960107091078747,1.7248901887373491,104.4069095958363,38.435063102028586,115.24533566561612,287.2411289091278,6013.889024,107
0,20,20,10.700065612792969,10.787799971444267,3.5817997455596924,3.149999999999999e-05,43.24480052359381,15.556671857190114,1.6680594285329182,73.80031258719308,35.7822505405971,111.5844497680664,238.8187038094267,6013.889024,108
0,30,30,10.422447204589844,10.72189740211733,4.137071132659912,4.65e-05,43.13941204175461,11.49334183877903,1.6454823247848018,62.71586916523595,34.84050455401021,110.27901606405935,221.383798483716,6013.889024,114
0,40,40,9.887532234191895,10.58631113098889,4.80666971206665,6.149999999999999e-05,43.23441921525905,9.427984170809108,1.6356066349076062,57.191503850425164,34.33666331593583,109.59926474966655,212.59243019497862,6013.889024,105
0,50,50,9.281967163085938,10.377053546905518,4.600802898406982,7.649999999999999e-05,42.00083030395259,2.989903160050744,1.6060556840896607,39.86374153137207,33.20416893005371,107.53359268188477,185.5785808598739,6013.889024,105
0,60,60,8.288976669311523,9.98032205581665,4.997467041015625,9.149999999999999e-05,43.49554751313617,3.0172590000438504,1.6020556807518005,39.79147331237793,32.978632888793946,107.53463790893555,185.2995139599443,6013.889024,92
0,70,70,7.505125999450684,9.42008822441101,4.53389310836792,0.00010649999999999999,43.217545857004,3.068942500067351,1.6102975988388062,40.09112831115723,33.206305770874025,107.55515670776367,185.911509319958,6013.889024,117
0,80,80,6.690732955932617,8.74284631729126,4.115468978881836,0.0001215,40.705968496502315,3.1094901799588115,1.6262559962272645,40.72561660766601,33.57480628967285,107.56840881347657,186.9936110799972,6013.889024,95
0,90,90,6.005540370941162,8.032379579544067,3.10526180267334,0.00013649999999999998,43.234834652355,3.0992894999144482,1.6237196803092957,40.67369918823242,33.77420524597168,107.5837092590332,187.14404417998594,6013.889024,114
