epoch,global_step,batch_idx,loss,loss_avg,grad_norm,lr,samples_per_sec,dl_wait_ms,h2d_ms,forward_ms,backward_ms,optimizer_ms,total_iter_ms,peak_mem_mb,num_tokens
0,0,0,10.823410987854004,10.823410987854004,2.9631245136260986,1.4999999999999998e-06,8.679770759609882,110.23857300097006,1.6097279787063599,531.6875610351562,88.95728302001953,188.769287109375,921.683328000654,6033.859072,121
0,10,10,10.802124977111816,10.816363421353428,3.190861225128174,1.6499999999999998e-05,26.858911474074418,101.41344981887165,1.322289445183494,88.29569279063831,42.21716724742543,114.95805775035511,348.6066356378036,6040.939008,115
0,20,20,10.706232070922852,10.788928531465077,3.3498377799987793,3.149999999999999e-05,27.762112716452286,99.08492219082767,1.3107580911545527,67.73057138352166,40.004149482363744,111.4282706124442,319.9533769056004,6040.939008,106
0,30,30,10.46254825592041,10.725004534567557,4.125588417053223,4.65e-05,27.96294871555915,98.47921141972033,1.308427349213631,60.12959437216482,39.22286052088584,110.18967117801789,309.7267529038588,6040.939008,99
0,40,40,9.965921401977539,10.593893958301079,4.422702789306641,6.149999999999999e-05,28.114579012779227,98.44752736623887,1.3053400952641556,56.376066719613426,39.20762857576696,109.58126086723513,305.316808463941,6040.939008,104
0,50,50,9.236085891723633,10.386890506744384,4.759561061859131,7.649999999999999e-05,27.604977615230204,103.26124672028527,1.2963359999656676,44.49886413574219,37.8983757019043,107.61062286376954,294.9652244801837,6040.939008,111
0,60,60,8.340746879577637,9.982113361358643,4.543783187866211,9.149999999999999e-05,27.840726143135054,102.54358091988252,1.294922239780426,44.547652587890624,38.08971771240235,107.63093826293945,294.5092125397059,6040.939008,102
0,70,70,7.908236980438232,9.426971712112426,3.65108323097229,0.00010649999999999999,27.34429465605392,102.89437013991119,1.2907161569595338,44.45266624450684,38.32696449279785,107.65940399169922,295.03257767966716,6040.939008,137
0,80,80,6.810188293457031,8.751062803268432,4.224449157714844,0.0001215,27.4689695240597,103.38465277993237,1.2876928019523621,44.68759742736816,38.38628471374512,107.69643020629883,295.85763405964826,6040.939008,97
0,90,90,5.677162170410156,8.027302179336548,3.2790021896362305,0.00013649999999999998,27.469460835489922,102.92794923989277,1.2851244807243347,44.68640502929688,38.38906433105469,107.717998046875,295.4238317796262,6040.939008,114
