epoch,global_step,batch_idx,loss,loss_avg,grad_norm,lr,samples_per_sec,dl_wait_ms,h2d_ms,forward_ms,backward_ms,optimizer_ms,total_iter_ms,peak_mem_mb,num_tokens
0,0,0,10.82340145111084,10.82340145111084,2.9547226428985596,1.4999999999999998e-06,8.051843833640278,125.31801000113774,0.7950080037117004,589.7579345703125,82.89008331298828,194.376708984375,993.5612469998887,6012.67456,121
0,10,10,10.80313777923584,10.817000649192117,3.178370475769043,1.6499999999999998e-05,27.55858264842093,104.88219809088729,0.5470050952651284,90.73807213523172,38.869559894908555,115.79689927534623,351.2510515457424,6013.889024,115
0,20,20,10.70553970336914,10.789249374752952,3.3625288009643555,3.149999999999999e-05,28.635968931680235,101.48741261885637,0.5323824768974668,66.80799865722656,35.84272620791481,111.9109606061663,316.98377495255653,6013.889024,106
0,30,30,10.457381248474121,10.724324349434145,4.148239612579346,4.65e-05,28.74137302542205,100.1764869676164,0.5279907122735055,58.344192997101814,34.768068129016505,110.54710880402595,304.7662470646408,6013.889024,99
0,40,40,9.96198844909668,10.592176507158976,4.432027339935303,6.149999999999999e-05,28.806273879779955,99.89592229253392,0.5296460520930406,54.22550006029083,34.37818303922327,109.84867579762529,299.2815729024786,6013.889024,104
0,50,50,9.232354164123535,10.384776210784912,4.765469074249268,7.649999999999999e-05,28.57133551049648,104.27330401984364,0.522466561794281,40.82124847412109,33.49875129699707,107.73311477661133,287.2549087999869,6013.889024,111
0,60,60,8.336551666259766,9.978998050689697,4.547821998596191,9.149999999999999e-05,27.8715714221979,103.36022741979832,0.5223148810863495,40.96591674804687,33.27953453063965,107.68947174072265,286.22185747986805,6013.889024,102
0,70,70,7.911620140075684,9.423710069656373,3.65175199508667,0.00010649999999999999,28.738560440937217,103.59638545985945,0.5225139224529266,41.01492088317871,33.28745391845703,107.7248991394043,286.55330801990203,6013.889024,137
0,80,80,6.816408157348633,8.749353132247926,4.225930690765381,0.0001215,28.287394539873212,103.95263033991796,0.5228710412979126,41.13936897277832,33.41595054626465,107.75889602661132,287.19595589991513,6013.889024,97
0,90,90,5.679405212402344,8.027329940795898,3.2907848358154297,0.00013649999999999998,28.316589279812632,103.62721022000187,0.5205708777904511,40.9757625579834,33.46910446166992,107.79031143188476,286.7871905199718,6013.889024,114
