epoch,global_step,batch_idx,loss,loss_avg,grad_norm,lr,samples_per_sec,dl_wait_ms,h2d_ms,forward_ms,backward_ms,optimizer_ms,total_iter_ms,peak_mem_mb,num_tokens
0,0,0,10.823403358459473,10.823403358459473,2.954763174057007,1.4999999999999998e-06,8.935063540006002,111.98489500020514,1.6640000343322754,508.5610656738281,82.29081726074219,190.4179229736328,895.3489770028682,6022.898176,121
0,10,10,10.803125381469727,10.816999001936479,3.178497076034546,1.6499999999999998e-05,27.40092261362137,100.91657990845057,1.3626909039237283,85.1926550431685,40.109495336359196,115.14442374489524,343.1357807279379,6027.356672,115
0,20,20,10.705533981323242,10.7892484664917,3.362720251083374,3.149999999999999e-05,28.03259248602868,98.73698119034609,1.3387763727278936,65.50901976085845,37.838863372802734,111.57006254650298,315.40424619102157,6027.356672,106
0,30,30,10.457389831542969,10.724324226379395,4.148438453674316,4.65e-05,28.149596908924064,98.00023483870562,1.3257579303556872,58.42461124543221,37.147373568627145,110.27422603484123,305.5801885486524,6027.356672,99
0,40,40,9.961976051330566,10.592173367011839,4.432153701782227,6.149999999999999e-05,28.400764422029706,98.17482282925062,1.3226677033959366,55.00670223701291,36.889410623689976,109.66200330780774,301.4690030733352,6027.356672,104
0,50,50,9.232261657714844,10.384770221710205,4.765517711639404,7.649999999999999e-05,27.50135497457861,102.91609967986005,1.3072147130966187,43.58813110351562,35.69078620910645,107.63337173461915,291.5502923000895,6027.356672,111
0,60,60,8.336485862731934,9.978989124298096,4.547797203063965,9.149999999999999e-05,28.163855140436386,102.46513996011345,1.3007801532745362,43.775619735717775,35.592624282836915,107.64848693847657,291.20155425996927,6027.356672,102
0,70,70,7.911599636077881,9.423695497512817,3.651676654815674,0.00010649999999999999,28.496358883056477,102.75651877993369,1.2926835203170777,43.68270896911621,35.748311843872074,107.6831396484375,291.58348079981806,6027.356672,137
0,80,80,6.8163862228393555,8.749315576553345,4.225687026977539,0.0001215,28.28630944185353,103.00464895983168,1.2875219178199768,43.701590881347656,35.78612747192383,107.73931610107422,291.9410473397147,6027.356672,97
0,90,90,5.679197311401367,8.027294025421142,3.2908053398132324,0.00013649999999999998,27.75209321575216,102.48875183984637,1.2820512008666993,43.496693496704104,36.04221359252929,107.73387130737305,291.4601342397509,6027.356672,114
